titre	identifiant	prix	prix soldé	état	disponibilité	Canal	libellé du flux	langue	canonical link	catégorie	description	gtin	identifiant groupe	lien	lien image	lien image supplémentaire	livraison(frais livraison:pays livraison)	marque	taille	tous les clics	tranche d'âge	étiquette personnalisée 0	étiquette personnalisée 1	étiquette personnalisée 2	étiquette personnalisée 3	étiquette personnalisée 4
Pantalon Fitness Hombre Under Armour Fleece Joggers	1373362-014	60.00 EUR	45.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/under-armour-fleece-joggers-halo-gray-black-1373362-014	Fitness > Pantalon	Pantalon Fitness Under Armour Fleece Joggers Hombre	195253784552	1373362-014	https://lp.base.net/under-armour-fleece-joggers-halo-gray-black-1373362-014?lpoid=b45b8ff12484779db1c44c265468920464515461	https://www.base.net/media/catalog/product/0/1/01_1373362_014.jpg	https://www.base.net/media/catalog/product/0/2/02_1373362_014.jpg,https://www.base.net/media/catalog/product/0/3/03_1373362_014.jpg,https://www.base.net/media/catalog/product/0/4/04_1373362	3.99 EUR:ES	Under Armour	XL	13	adulte	Dataiads-allcategs-ori	Fitness	Hombre	"REBAJAS"	BF-DOS-CUATRO
Bolsa Casual Unisex Havaianas Mini Bag Logo	4145429-0090	17.99 EUR	13.49 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/havaianas-mini-bag-logo-black-4145429-0090	Casual > Bolsa	Bolsa Casual Havaianas Mini Bag Logo Unisex	7893249146690	4145429-0090	https://lp.base.net/havaianas-mini-bag-logo-black-4145429-0090?lpoid=bab3301003461d2246e068d8446a16a99f3edda2	https://www.base.net/media/catalog/product/0/1/01_4145429_0090.jpg	https://www.base.net/media/catalog/product/0/2/02_4145429_0090.jpg	3.99 EUR:ES	Havaianas	T.U	3	adulte	Dataiads-allcategs-ori	Casual	Unisex	"MSS-BASE"	REBAJAS-ENERO-25
Zapatillas Fitness Hombre Puma Transport	377028-32	56.00 EUR	36.40 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/puma-transport-blue-puma-bl-377028-32	Fitness > Zapatillas	Zapatillas Fitness Puma Transport Hombre	4065454934826	377028-32	https://lp.base.net/puma-transport-blue-puma-bl-377028-32?lpoid=5c3dc0633b2f89cb21f116c03edc78bcd0dfbb4c	https://www.base.net/media/catalog/product/0/1/01_377028_32.jpg	https://www.base.net/media/catalog/product/0/2/02_377028_32.jpg,https://www.base.net/media/catalog/product/0/3/03_377028_32.jpg,https://www.base.net/media/catalog/product/0/4/04_377028_32.jpg	3.99 EUR:ES	Puma	43	2	adulte	Dataiads-allcategs-ori	Fitness	Hombre	"SUMMER"	REBAJAS-ENERO-25
Chaqueta Casual Hombre Nike Sportswear Club Fleece Men	BV2645-010	74.99 EUR	74.99 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/nike-sportswear-club-fleece-men-black-black-white-bv2645-010	Casual > Chaqueta	Chaqueta Casual Nike Sportswear Club Fleece Men Hombre	193147702361	BV2645-010	https://lp.base.net/nike-sportswear-club-fleece-men-black-black-white-bv2645-010?lpoid=a9e875287a3297698b65142b2c1c8f9dfb67a0cd	https://www.base.net/media/catalog/product/0/1/01_bv2645_010.jpg	https://www.base.net/media/catalog/product/0/2/02_bv2645_010.jpg,https://www.base.net/media/catalog/product/0/3/03_bv2645_010.jpg,https://www.base.net/media/catalog/product/0/4/04_bv2645_010	0.00 EUR:ES	Nike	S	0	adulte	Dataiads-allcategs-ori	Casual	Hombre		
Zapatilla De Running De Hombre Runfalcon 3.0 adidas Performance	id2286	37.10 EUR		neuf	en stock	Magasin en ligne	ES	es			La zapatilla de running adidas es ideal para correr y para tus actividades diarias. Con su mediasuela Cloudfoam, tendrás una pisada cómoda y suave. Además, su parte superior es transpirable y cómoda, mientras que su suela de goma te dará un excelente agarre. También es amigable con el medio ambiente, ya que contiene al menos un 50% de materiales reciclados. ¡Haz tu parte por el planeta mientras disfrutas de la comodidad y el estilo!  COMPOSICIÓN Y TECNOLOGÍA  Horma clásica Cierre de cordones Parte superior textil Mediasuela Cloudfoam Forro textil<			https://canarias.base.net/zapatilla-de-running-de-hombre-runfalcon-3-0-adidas-performance-legink-ftwwht-cblack-id2286	https://www.base.net/media/catalog/product/0/1/01_id2286.jpg		:ES	adidas		0						
Botas de futbol Futbol Hombre Puma Ultra Pro Fg/ag	107240-02	140.00 EUR	84.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/puma-ultra-pro-fg-ag-black-puma-wh-107240-02	Futbol > Botas de futbol	Botas De Futbol Futbol Puma Ultra Pro Fg/ag Hombre	4065452426637	107240-02	https://lp.base.net/puma-ultra-pro-fg-ag-black-puma-wh-107240-02?lpoid=eb52555878bf580f597bfc38ff515c7cfad25a4a	https://www.base.net/media/catalog/product/0/1/01_107240_02.jpg	https://www.base.net/media/catalog/product/0/2/02_107240_02.jpg,https://www.base.net/media/catalog/product/0/3/03_107240_02.jpg,https://www.base.net/media/catalog/product/0/4/04_107240_02.jpg	0.00 EUR:ES	Puma	39	2	adulte	Dataiads-allcategs-ori	Futbol	Hombre	"outlet-base"	REBAJAS-ENERO-25
Replicas Futbol Hombre Chaqueta Chandal Hombre Real Madrid adidas Performance	IT5118	75.00 EUR	75.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/chaqueta-chandal-hombre-real-madrid-adidas-performance-globlu-creora-tenabl-it5118	Futbol > Replicas	Replicas Futbol Chaqueta Chandal Hombre Real Madrid adidas Performance Hombre	4067896052434	IT5118	https://lp.base.net/chaqueta-chandal-hombre-real-madrid-adidas-performance-globlu-creora-tenabl-it5118?lpoid=016aee7e00fd59dbac1e95f1a543ac0c349293b7	https://www.base.net/media/catalog/product/0/1/01_it5118.jpg	https://www.base.net/media/catalog/product/0/2/02_it5118.jpg,https://www.base.net/media/catalog/product/0/3/03_it5118.jpg,https://www.base.net/media/catalog/product/0/4/04_it5118.jpg	0.00 EUR:ES	adidas Performance	L	81	adulte	Dataiads-allcategs-ori	Futbol	Hombre		NOVEDAD-FA24
Camiseta Fitness Hombre Under Armour Sportstyle Lc ss	1326799-289	28.00 EUR	23.80 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/under-armour-sportstyle-lc-ss-khaki-base-black-1326799-289	Fitness > Camiseta	Camiseta Fitness Under Armour Sportstyle Lc ss Hombre	192564472826	1326799-289	https://lp.base.net/under-armour-sportstyle-lc-ss-khaki-base-black-1326799-289?lpoid=30e65c2eb7226aa067ee27a0c425f88cee124835	https://www.base.net/media/catalog/product/0/1/01_1326799_289.jpg	https://www.base.net/media/catalog/product/0/2/02_1326799_289.jpg,https://www.base.net/media/catalog/product/0/3/03_1326799_289.jpg	3.99 EUR:ES	Under Armour	S	2	adulte	Dataiads-allcategs-ori	Fitness	Hombre		BF-DOS-CUATRO
Sudadera Casual Hombre adidas Essentials French Terry 3 Bandas	IC0435	60.00 EUR	48.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/adidas-essentials-french-terry-3-bandas-black-white-ic0435	Casual > Sudadera	Sudadera Casual adidas Essentials French Terry 3 Bandas Hombre	4066745332482	IC0435	https://lp.base.net/adidas-essentials-french-terry-3-bandas-black-white-ic0435?lpoid=6d7ee2ccdfa6a2d145d438989a441e0bdbc69bd6	https://www.base.net/media/catalog/product/0/1/01_ic0435.jpg	https://www.base.net/media/catalog/product/0/2/02_ic0435.jpg,https://www.base.net/media/catalog/product/0/3/03_ic0435.jpg,https://www.base.net/media/catalog/product/0/4/04_ic0435.jpg	3.99 EUR:ES	adidas	L	0	adulte	Dataiads-allcategs-var	Casual	Hombre	"REBAJAS"	REBAJAS-ENERO-25
Gorra Fitness Unisex Gorra Bball 3s Cap Ct adidas Performance	IB3242	20.00 EUR	20.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/gorra-bball-3s-cap-ct-adidas-performance-black-white-ib3242	Fitness > Gorra	Gorra Fitness Gorra Bball 3s Cap Ct adidas Performance Unisex	4066763590055	IB3242	https://lp.base.net/gorra-bball-3s-cap-ct-adidas-performance-black-white-ib3242?lpoid=443ce4ba4f1e57851e6fb2412f9f7dc992d103ff	https://www.base.net/media/catalog/product/0/1/01_ib3242.jpg	https://www.base.net/media/catalog/product/0/2/02_ib3242.jpg,https://www.base.net/media/catalog/product/0/3/03_ib3242.jpg	3.99 EUR:ES	adidas	M	0	adulte	Dataiads-allcategs-ori	Fitness	Unisex		
Zapatillas Running Junior Asics GT-1000 11 ps	1014A238-023	60.00 EUR	36.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/asics-gt-1000-11-ps-graphite-grey-orchid-1014a238-023	Running > Zapatillas	Zapatillas Running Asics GT-1000 11 ps Junior	4550455677037	1014A238-023	https://lp.base.net/asics-gt-1000-11-ps-graphite-grey-orchid-1014a238-023?lpoid=9679c6fc1c0e737513a6f5b27b9a832f21a7823f	https://www.base.net/media/catalog/product/0/1/01_1014a238_023.jpg	https://www.base.net/media/catalog/product/0/2/02_1014a238_023.jpg,https://www.base.net/media/catalog/product/0/3/03_1014a238_023.jpg,https://www.base.net/media/catalog/product/0/4/04_1014	3.99 EUR:ES	Asics	28.5	20	enfants	Dataiads-allcategs-var	Running	Junior	"outlet-base"	REBAJAS-ENERO-25
Camiseta Fitness Hombre Camiseta Casual Hombre M Fi 3s Reg T adidas Sportswear	IX5197	35.00 EUR	24.50 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/camiseta-casual-hombre-m-fi-3s-reg-t-adidas-sportswear-brired-ix5197	Fitness > Camiseta	Camiseta Fitness Camiseta Casual Hombre M Fi 3s Reg T adidas Sportswear Hombre	4067889579177	IX5197	https://lp.base.net/camiseta-casual-hombre-m-fi-3s-reg-t-adidas-sportswear-brired-ix5197?lpoid=dfd802a16ece1816475d3b44d30bd7a659775223	https://www.base.net/media/catalog/product/0/1/01_ix5197.jpg	https://www.base.net/media/catalog/product/0/2/02_ix5197.jpg,https://www.base.net/media/catalog/product/0/3/03_ix5197.jpg	3.99 EUR:ES	adidas Sportswear	M	0	adulte	Dataiads-allcategs-var	Fitness	Hombre	"SUMMER"	REBAJAS-ENERO-25
Top Futbol Hombre Camiseta Fútbol Hombre Tabela 23 Jsy adidas Performance	H44529	20.00 EUR	16.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/camiseta-futbol-hombre-tabela-23-jsy-adidas-performance-black-white-h44529	Futbol > Top	Top Futbol Camiseta Fútbol Hombre Tabela 23 Jsy adidas Performance Hombre	4066752147925	H44529	https://lp.base.net/camiseta-futbol-hombre-tabela-23-jsy-adidas-performance-black-white-h44529?lpoid=eb94a55d7693e115daeffe63a70f7db50deef276	https://www.base.net/media/catalog/product/0/1/01_h44529.jpg	https://www.base.net/media/catalog/product/0/2/02_h44529.jpg,https://www.base.net/media/catalog/product/0/3/03_h44529.jpg,https://www.base.net/media/catalog/product/0/4/04_h44529.jpg	3.99 EUR:ES	adidas	XS	0	adulte	Dataiads-allcategs-var	Futbol	Hombre	"SUMMER"	BF-DOS-CUATRO
Camiseta Casual Hombre Nike Sportswear Jdi	AR5006-386	24.99 EUR	21.24 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/nike-sportswear-jdi-oil-green-ar5006-386	Casual > Camiseta	Camiseta Casual Nike Sportswear Jdi Hombre	196153658721	AR5006-386	https://lp.base.net/nike-sportswear-jdi-oil-green-ar5006-386?lpoid=1d3964b1c947cdfac2bc6de21ebd59886054e309	https://www.base.net/media/catalog/product/0/1/01_ar5006_386.jpg	https://www.base.net/media/catalog/product/0/2/02_ar5006_386.jpg,https://www.base.net/media/catalog/product/0/3/03_ar5006_386.jpg,https://www.base.net/media/catalog/product/0/4/04_ar5006_386	3.99 EUR:ES	Nike	S	0	adulte	Dataiads-allcategs-ori	Casual	Hombre	"SUMMER"	BF-DOS-CUATRO
Gorra Casual Hombre New Era League Essential 9forty	60358172-001	24.00 EUR	15.60 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/new-era-league-essential-9forty-black-60358172-001	Casual > Gorra	Gorra Casual New Era League Essential 9forty Hombre	196996670553	60358172-001	https://lp.base.net/new-era-league-essential-9forty-black-60358172-001?lpoid=e83a5a245ce08d3b08b4e4d228b6a674ef7bba12	https://www.base.net/media/catalog/product/0/1/01_60358172_001.jpg	https://www.base.net/media/catalog/product/0/2/02_60358172_001.jpg	3.99 EUR:ES	New Era	T.ÚNICA	5	adulte	Dataiads-allcategs-ori	Casual	Hombre	"SUMMER"	REBAJAS-ENERO-25
Top Futbol Hombre Camiseta Hombre Tiro24 Jsy adidas Performance	IJ7676	25.00 EUR	25.00 EUR		en stock	Magasin en ligne	ES	es	https://www.base.net/camiseta-hombre-tiro24-jsy-adidas-performance-black-white-ij7676	Futbol > Top	Top Futbol Camiseta Hombre Tiro24 Jsy adidas Performance Hombre	4066757975004	IJ7676	https://lp.base.net/camiseta-hombre-tiro24-jsy-adidas-performance-black-white-ij7676?lpoid=ae26b3727f6fede8f725be03e8754e858d39ba1a	https://www.base.net/media/catalog/product/0/1/01_ij7676.jpg	https://www.base.net/media/catalog/product/0/2/02_ij7676.jpg,https://www.base.net/media/catalog/product/0/3/03_ij7676.jpg	3.99 EUR:ES	adidas	L	0	adulte	Dataiads-allcategs-var	Futbol	Hombre		BF-DOS-CUATRO
